,u,v,Distance_miles,TimeToCross_minutes,edge_id,lon_u,lat_u,isHighPriority_u,lon_v,lat_v,isHighPriority_v,heading_u,heading_v
6541,IA160851973,IA2750762356,0.1881050912302298,0,6541,-93.6363608,41.5834154,0,-93.6367009,41.5826872,0,0.5608052242670298,0.5607545347315732
6542,IA160852391,IA160718016,4.342340811267566,5,6542,-93.765039,41.541313,0,-93.770905,41.559131,0,0.6215235623325375,0.6345773423208828
6543,IA160852391,IA7350701925,0.5495469376780274,0,6543,-93.765039,41.541313,0,-93.7682617,41.5411661,0,0.6215235623325375,0.6228333586994061
6544,IA160852391,IA160854390,2.393391033326308,2,6544,-93.765039,41.541313,0,-93.75118,41.542983,1,0.6215235623325375,0.616193519941273
6545,IA160854071,IA160787513,0.2179209092386026,0,6545,-93.6424782,41.5844465,0,-93.6411965,41.5844547,0,0.5675185470708223,0.5662521749422339
6546,IA160854071,IA160854085,2.865182882983212,3,6546,-93.6424782,41.5844465,0,-93.65933,41.5844359,0,0.5675185470708223,0.5833632720434484
6547,IA160854085,IA160907674,0.3922320962934065,0,6547,-93.65933,41.5844359,0,-93.659322,41.586168,0,0.5833632720434484,0.5845628554953654
6548,IA160854085,IA3048355563,0.4217641465215654,0,6548,-93.65933,41.5844359,0,-93.6618106,41.584454,0,0.5833632720434484,0.5855718231695464
6549,IA160854085,IA160854071,2.8651828829832118,3,6549,-93.65933,41.5844359,0,-93.6424782,41.5844465,0,0.5833632720434484,0.5675185470708223
6550,IA160854095,IA160817632,1.7212041480362243,2,6550,-93.6641713,41.5844709,0,-93.6742939,41.5845404,0,0.5876408328480657,0.5961519694113752
6551,IA160854095,IA160850863,0.3127275991077568,0,6551,-93.6641713,41.5844709,0,-93.662332,41.5844572,0,0.5876408328480657,0.5860311574571165
6552,IA160854095,IA160963820,0.4193471801155124,0,6552,-93.6641713,41.5844709,0,-93.6641819,41.5863227,0,0.5876408328480657,0.5889795103320963
6553,IA160854204,IA160854222,0.7344014256040851,0,6553,-93.693757,41.582845,0,-93.6980663,41.5827186,0,0.6095085164505346,0.6123795598484717
6554,IA160854204,IA160817632,3.420724398329802,4,6554,-93.693757,41.582845,0,-93.6742939,41.5845404,0,0.6095085164505346,0.5961519694113752
6555,IA160854204,IA160963871,0.7955735245603053,0,6555,-93.693757,41.582845,0,-93.6937604,41.5863582,0,0.6095085164505346,0.612261738575344
