,Node,longitude,latitude,isHighPriority
321,IA160777745,-92.610427,41.632238,False
322,IA160779067,-92.488216,41.524839,False
323,IA160779772,-92.527237,41.574264,False
324,IA160779794,-92.5272501,41.5853916,True
325,IA160780760,-92.523621,41.58536,True
326,IA160781060,-92.7271785,41.659589,False
327,IA160785003,-92.552137,41.630766,False
328,IA160792887,-92.550603,41.532735,False
329,IA160793147,-92.661409,41.574553,False
330,IA160793303,-92.669134,41.608963,False
331,IA160795635,-92.6103391,41.6165107,False
332,IA160795748,-92.60451,41.576454,False
333,IA160795954,-92.606276,41.601644,False
334,IA160795971,-92.605958,41.601854,False
335,IA160796036,-92.606469,41.601853,False
336,IA160802948,-92.658093,41.5738,False
337,IA160803079,-92.618964,41.575807,False
338,IA160804007,-92.45502,41.644967,False
339,IA160815503,-92.544515,41.601682,True
340,IA160816800,-92.623479,41.530823,False
341,IA160819130,-92.450823,41.58532,False
342,IA160819465,-92.7272315,41.60873,False
343,IA160825747,-92.654382,41.530473,False
344,IA160826225,-92.727244,41.689229,False
345,IA160826599,-92.704009,41.574582,False
346,IA160830115,-92.508488,41.538657,False
347,IA352637040,-92.6742953,41.2852325,True
348,IA352639586,-92.6319351,41.1753046,False
349,IA352641362,-92.640848,41.2544961,False
350,IA352641369,-92.6466834,41.264707,False
351,IA352641753,-92.6413096,41.255231,False
352,IA352641885,-92.6418872,41.262689,False
353,IA352642440,-92.6430219,41.2563239,False
354,IA352642451,-92.6476975,41.2649751,False
355,IA352642470,-92.6746537,41.3013932,False
356,IA352642473,-92.6744744,41.2902566,False
357,IA352642543,-92.6760621,41.296165,False
358,IA352642546,-92.6748422,41.2902726,False
359,IA352642550,-92.6750345,41.3019461,False
360,IA352643339,-92.6399332,41.2049696,False
361,IA352906724,-92.9449907,41.4126266,True
362,IA352906729,-92.9490428,41.4115423,False
363,IA352906733,-92.9475079,41.4106728,False
364,IA352906734,-92.9528062,41.4147455,False
365,IA352907077,-92.9206419,41.3899172,False
366,IA352907082,-92.9130429,41.3906578,True
367,IA352907085,-92.9058428,41.389716,False
368,IA352907151,-92.9200538,41.3895931,False
369,IA352907154,-92.9139899,41.3876942,False
370,IA352907159,-92.9071937,41.3893766,False
371,IA352907162,-92.8708641,41.3886925,False
372,IA352907164,-92.8778237,41.3897325,False
373,IA352907172,-92.8768936,41.3899248,False
374,IA352907177,-92.8640486,41.3893533,False
375,IA352907179,-92.8633612,41.3896154,False
376,IA391180641,-92.4746649,41.5026416,False
377,IA391189889,-92.78101,41.574025,False
378,IA391190630,-92.8439885,41.581086,False
379,IA391226143,-92.513437,41.574281,False
380,IA391226168,-92.702504,41.574144,False
381,IA391226169,-92.704351,41.574133,False
382,IA998453637,-92.6402765,41.2049696,False
383,IA998511493,-92.6884512,41.3140202,False
384,IA998511512,-92.6882436,41.3142257,False
385,IA1001583120,-92.7849092,41.3634526,False
386,IA1001583162,-92.7298545,41.3363665,False
387,IA1001583163,-92.7301044,41.3361686,False
388,IA1186331113,-92.9216766,41.4282252,False
389,IA1230001872,-92.6434747,41.3136696,False
390,IA1851751806,-92.673611,41.2925917,False
391,IA2576495372,-92.9017852,41.3948404,False
392,IA2576495469,-92.9016835,41.3916362,False
393,IA2576502181,-92.8977109,41.3916124,False
394,IA2576502228,-92.8904236,41.4002843,False
395,IA2576569253,-92.9113076,41.4066999,False
396,IA2577779255,-92.9465686,41.4120833,False
397,IA3567035441,-92.667234,41.303892,False
398,IA3567035453,-92.6668711,41.3042501,False
399,IA3567089375,-92.6319155,41.2871592,False
400,IA3567089881,-92.6663497,41.3035627,True
401,IA3567089894,-92.667081,41.3036113,False
402,IA3567089899,-92.6673215,41.3036363,False
403,IA3567089900,-92.6670349,41.3036374,False
404,IA3567089913,-92.6673734,41.3037008,False
405,IA3567089930,-92.666989,41.3037992,False
406,IA3567089935,-92.6670068,41.3038262,False
407,IA3567089945,-92.6672888,41.3038734,False
408,IA3612525754,-92.6656337,41.2980239,False
409,IA3625544271,-92.6696849,41.2962332,False
410,IA3625548709,-92.6781633,41.2958736,False
411,IA3625548714,-92.6651629,41.2962612,False
412,IA3625548733,-92.6629266,41.2961988,False
413,IA3625548740,-92.6776748,41.2961697,False
414,IA3958518043,-92.9165894,41.4266525,False
415,IA4201216141,-92.6404288,41.2563169,False
416,IA4201216427,-92.640084,41.2566781,False
